TIMELINE TRIỂN KHAI MVP trong 3 tuần,,,,,,,,,,,
,,,,,,,,,,,
STT,Tuần,Ngày,Ngày dự kiến,Trọng tâm,Việc thực hiện,Kết quả để duyệt,Em cần phối hợp,Chủ trì,Mốc duyệt,Trạng thái,Ghi chú
1,Tuần 1,1,26/08/2026,Khởi động,"Thống nhất mục tiêu, phạm vi và cách đánh giá MVP",Biên bản phạm vi và ba mốc duyệt,Chỉ định người quyết định; xác nhận phần làm và chưa làm,Hai bên,Duyệt phạm vi,Đang thực hiện,
2,,2,27/08/2026,Bản khung sản phẩm,Chuẩn bị phiên bản đầu để người dùng truy cập và lưu công việc,Có màn hình khung để xem luồng sử dụng,"Cung cấp tài khoản, nơi triển khai và đầu mối hỗ trợ",Hiếu,,Chưa bắt đầu,
3,,3,28/08/2026,Creator DNA,"Hoàn thiện biểu mẫu định vị, giọng điệu và giới hạn nội dung","Tạo, sửa và duyệt được một Creator DNA mẫu",Bàn giao 3–5 hồ sơ Creator và danh sách nội dung cấm,Hiếu,Duyệt Creator DNA,Chưa bắt đầu,
4,,4,29/08/2026,Định hướng & kế hoạch,Tạo định hướng kênh và kế hoạch nội dung từ Creator DNA,Có kế hoạch nội dung mẫu để Content Owner đánh giá,Duyệt tỷ lệ nội dung và tiêu chí chất lượng,Hiếu,,Chưa bắt đầu,
5,,5,30/08/2026,Kịch bản & storyboard,"Tạo kịch bản, kiểm tra nội dung và phân cảnh quay",Chạy trọn luồng từ Creator DNA tới storyboard,Đánh giá nội dung mẫu và phản hồi trong ngày,Hai bên,MILESTONE 1,Chưa bắt đầu,
6,Tuần 2,6,31/08/2026,Nhận video thô,Cho phép tải video thô lên dự án và kiểm tra đầu vào,Tải và quản lý được video thử nghiệm,Cung cấp 10 bộ video thô và thành phẩm đối chiếu,Hiếu,,Chưa bắt đầu,
7,,7,01/09/2026,Lời thoại & phụ đề,Chuyển lời nói thành văn bản và cho phép sửa nội dung,Có bản lời thoại và phụ đề có thể chỉnh sửa,"Kiểm tra chính tả, tên riêng và thuật ngữ ngành",Hiếu,Duyệt phụ đề mẫu,Chưa bắt đầu,
8,,8,02/09/2026,Cắt video cơ bản,"Đề xuất bỏ khoảng lặng và từ đệm, cho phép giữ lại khi cần",Có danh sách đoạn giữ/cắt để người dùng duyệt,Thử trên video thật và xác nhận mức cắt phù hợp,Hiếu,,Chưa bắt đầu,
9,,9,03/09/2026,Nhận diện thương hiệu,"Áp dụng caption, logo, font, màu và nhạc nền cố định",Có bản nháp mang nhận diện của Creator/Meta Ecom,Cung cấp tài nguyên thương hiệu và xác nhận quyền sử dụng,Hiếu,Duyệt mẫu hiển thị,Chưa bắt đầu,
10,,10,04/09/2026,Bản dựng tự động,"Hoàn thiện luồng tạo, theo dõi và tải bản dựng video",Video thô được chuyển thành bản nháp có thể xem và tải,Đánh giá bản dựng mẫu và gửi lỗi ưu tiên,Hai bên,MILESTONE 2,Chưa bắt đầu,
11,Tuần 3,11,06/09/2026,Màn hình review,"Cho phép sửa phụ đề, thay đổi đoạn cắt và chọn preset trước khi xuất",Người dùng kiểm soát được bản dựng cuối,Content Owner thử thao tác và xác nhận luồng review,Hiếu,,Chưa bắt đầu,
12,,12,07/09/2026,Luồng hoàn chỉnh,Liên kết toàn bộ quy trình thành một luồng thống nhất,Tạo nội dung và dựng video trong cùng một dự án,Cung cấp nhóm người dùng thử và quyền truy cập cần thiết,Hiếu,Duyệt luồng tổng,Chưa bắt đầu,
13,,13,08/09/2026,Kiểm tra nội bộ,Kiểm tra các trường hợp thường gặp và xử lý lỗi quan trọng,Có phiên bản sẵn sàng cho người dùng thử,Xác nhận bộ video và kịch bản dùng nghiệm thu,Hiếu,Sẵn sàng UAT,Chưa bắt đầu,
14,,14,09/09/2026,Người dùng thử,Tổ chức dùng thử với 2–3 Creator trên tối thiểu 10 video,"Biên bản UAT, lỗi cần sửa và đề xuất giai đoạn sau",Bố trí người dùng; phản hồi và xếp ưu tiên trong ngày,Hai bên,UAT,Chưa bắt đầu,
15,,15,10/09/2026,Bàn giao MVP,"Sửa lỗi ưu tiên cao, đưa bản MVP vào sử dụng và hướng dẫn vận hành","MVP nội bộ, tài liệu sử dụng và biên bản bàn giao",Xác nhận nghiệm thu và đầu mối vận hành sau bàn giao,Hai bên,MILESTONE 3,Chưa bắt đầu,
